Election Cycle ,Candidate,Board Meeting Date,Violation,Current Violation Name,Final Board Determination
2013,"Squadron, Daniel",09/24/2015,Failing to report two transactions,Failing to report transactions,$83
2013,"Squadron, Daniel",09/24/2015,Failing to file/late filing of daily pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$300
2013,"Squadron, Daniel",09/24/2015,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$384
2013,"Squadron, Daniel",09/24/2015,Accepting contributions from corporations and limited liability companies,"Accepting contributions from corporations, limited liability companies, or partnerships",$100
2013,"Squadron, Daniel",09/24/2015,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,$508
2013,"Squadron, Daniel",09/24/2015,Failing to document transactions,Failing to document transactions,$300
2013,"Squadron, Daniel",09/24/2015,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$300
2013,"Squadron, Daniel",09/24/2015,Repayment: FBB,Repayment: Final Bank Balance,"$30,704.56"
2013,"Vanel, Clyde",09/24/2015,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$1,715"
2013,"Hurley, F. Richard",09/10/2015,Failing to document an in-kind contribution,Failing to document transactions,$100
2013,"Hurley, F. Richard",09/10/2015,Converting campaign funds to a personal use,Converting campaign funds to a personal use,"$1,000"
2013,"Hurley, F. Richard",09/10/2015,Repayment: FBB,Repayment: Final Bank Balance,$650
2013,"Johnson, Daryl",09/10/2015,Failing to provide bank/merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$400
2013,"Johnson, Daryl",09/10/2015,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$181
2013,"Johnson, Daryl",09/10/2015,Failing to document transactions,Failing to document transactions,$100
2013,"Johnson, Daryl",09/10/2015,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$21,254"
2013,"Mashariki, Jelani",09/10/2015,Failing to demonstrate compliance with cash reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$182
2013,"Mashariki, Jelani",09/10/2015,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$1,287"
2013,"Mashariki, Jelani",09/10/2015,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$100
2013,"Mashariki, Jelani",09/10/2015,Late response to Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.",$50
2013,"Mashariki, Jelani",09/10/2015,Repayment: FBB,Repayment: Final Bank Balance,"$9,236.23"
2013,"Mays, Gregory",09/10/2015,Repayment: FBB,Repayment: Final Bank Balance,"$9,835.40"
2013,"Tejada, Luis",09/10/2015,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$256
2013,"Tejada, Luis",09/10/2015,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",VNP
2013,"Alvarez, Albert",08/13/2015,Failing to provide a bank statement,"Failing to provide bank, credit card, and merchant account statements",$50
2013,"Alvarez, Albert",08/13/2015,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$70
2013,"Alvarez, Albert",08/13/2015,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,$500
2013,"Alvarez, Albert",08/13/2015,Accepting contributions from a corporation,"Accepting contributions from corporations, limited liability companies, or partnerships",$45
2013,"Alvarez, Albert",08/13/2015,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$100
2013,"Alvarez, Albert",08/13/2015,Failing to document a joint expenditure,Failing to document transactions,$100
2013,"Alvarez, Albert",08/13/2015,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$154
2013,"Alvarez, Albert",08/13/2015,Making an impermissible post-election expenditure,Making impermissible post-election expenditures,$100
2013,"De Stefano, Danielle",08/13/2015,Payment: Documented Outstanding Liabilities,Payment: Documented Outstanding Liabilities,($400)
2013,"Kinard, Sylvia",08/13/2015,Failing to provide merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$306
2013,"Kinard, Sylvia",08/13/2015,Filing late disclosure statements,Failing to file/filing late disclosure statements,$213
2013,"Kinard, Sylvia",08/13/2015,Accepting a contribution from a corporation,"Accepting contributions from corporations, limited liability companies, or partnerships",$153
2013,"Kinard, Sylvia",08/13/2015,Failing to report transactions,Failing to report transactions,$104
2013,"Kinard, Sylvia",08/13/2015,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$764
2013,"Lucas, Nikki",08/13/2015,Failing to report a merchant account used for campaign purposes,Failing to disclose a bank account or political committee used in furtherance of the campaign,$250
2013,"Lucas, Nikki",08/13/2015,Failing to provide bank or merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$500
2013,"Lucas, Nikki",08/13/2015,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$47
2013,"Lucas, Nikki",08/13/2015,Failing to document a transaction,Failing to document transactions,$100
2013,"Lucas, Nikki",08/13/2015,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$1,250"
2013,"Lucas, Nikki",08/13/2015,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$137
2013,"Lucas, Nikki",08/13/2015,Late response and failing to respond to audit documentation and information requests (initial documentation request and DAR),"Failing to respond/late response to IDR, DAR, etc.","$3,658"
2013,"Lucas, Nikki",08/13/2015,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$22,371"
2013,"Mancuso, John",08/13/2015,Repayment: FBB,Repayment: Final Bank Balance,"$3,155.57"
2013,"Omotosho, Bola",08/13/2015,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($1,080)"
2013,"Rahman, Mujib",08/13/2015,Failing to file daily pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$150
2013,"Rahman, Mujib",08/13/2015,Failing to document an in-kind contribution,Failing to document transactions,$100
2013,"Rahman, Mujib",08/13/2015,Submitting false contribution reporting and documentation,Material misrepresentation; fraud; submission of false or ficticious information,No violation
2013,"Rahman, Mujib",08/13/2015,Making a cash expenditure greater than $100,Making cash expenditures greater than $100,VNP
2013,"Rahman, Mujib",08/13/2015,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($45,445)"
2013,"Reynoso, Antonio",08/13/2015,Failing to report a merchant account used for campaign purposes,Failing to disclose a bank account or political committee used in furtherance of the campaign,$250
2013,"Reynoso, Antonio",08/13/2015,Failing to provide bank/merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$500
2013,"Reynoso, Antonio",08/13/2015,Failing to report two transactions,Failing to report transactions,$134
2013,"Reynoso, Antonio",08/13/2015,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2013,"Reynoso, Antonio",08/13/2015,Failing to document transactions,Failing to document transactions,$400
2013,"Reynoso, Antonio",08/13/2015,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$130
2013,"Reynoso, Antonio",08/13/2015,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$521
2013,"Stanton, Cliff",08/13/2015,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$250
2013,"Stanton, Cliff",08/13/2015,Failing to document an in-kind contribution,Failing to document transactions,$100
2013,"Stanton, Cliff",08/13/2015,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$112
2013,"Stanton, Cliff",08/13/2015,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$229
2013,"Stanton, Cliff",08/13/2015,Repayment: FBB,Repayment: Final Bank Balance,$153.61
2013T,"Brewer, Gale (TIE)",07/09/2015,Accepting an over-the-limit donation,Accepting over-the-limit contributions,VNP
2013,"Rajkumar, Jenifer",07/09/2015,Failing to provide a bank/merchant account statement,"Failing to provide bank, credit card, and merchant account statements",No violation
2013,"Rajkumar, Jenifer",07/09/2015,Accepting over-the-limit contributions,Accepting over-the-limit contributions,No violation
2013,"Rajkumar, Jenifer",07/09/2015,Repayment: FBB,Repayment: Final Bank Balance,$110.91
2013,"Johnson, Pamela",06/24/2015,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$2,656"
2013,"Scavo, Theresa",06/24/2015,Accepting two contributions that were over the limit,Accepting over-the-limit contributions,$575
2013,"Scavo, Theresa",06/24/2015,Accepting a contribution from a limited liability company,"Accepting contributions from corporations, limited liability companies, or partnerships",$125
2013,"Scavo, Theresa",06/24/2015,Failing to document two transactions,Failing to document transactions,$200
2013,"Deutsch, Chaim",06/11/2015,Repayment: FBB,Repayment: Final Bank Balance,"$2,553.29"
2013,"Foy, Kirsten",06/11/2015,Failing to report a merchant account used for campaign purposes,Failing to disclose a bank account or political committee used in furtherance of the campaign,$250
2013,"Foy, Kirsten",06/11/2015,Filing late disclosure statements,Failing to file/filing late disclosure statements,$300
2013,"Foy, Kirsten",06/11/2015,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,$250
2013,"Foy, Kirsten",06/11/2015,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,$250
2013,"Foy, Kirsten",06/11/2015,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,VNP
2013,"Foy, Kirsten",06/11/2015,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$875
2013,"Foy, Kirsten",06/11/2015,Late response to the initial documentation request,"Failing to respond/late response to IDR, DAR, etc.",$50
2013,"Palma, Annabel",06/11/2015,Failing to provide bank/merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$500
2013,"Palma, Annabel",06/11/2015,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$375
2013,"Palma, Annabel",06/11/2015,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,No violation
2013,"Palma, Annabel",06/11/2015,Converting campaign funds to a personal use,Converting campaign funds to a personal use,"$2,969"
2013,"Peeden, Sondra",06/11/2015,Failing to file a disclosure statement,Failing to file/filing late disclosure statements,$388
2013,"Peeden, Sondra",06/11/2015,Failing to provide bank/merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$259
2013,"Peeden, Sondra",06/11/2015,Failing to demonstrate compliance with reporting requirements for receipts,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$259
2013,"Peeden, Sondra",06/11/2015,Failing to report a merchant account used for campaign purposes,Failing to disclose a bank account or political committee used in furtherance of the campaign,$129
2013,"Peeden, Sondra",06/11/2015,Failing to demonstrate compliance with reporting requirements for disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$129
2013,"Peeden, Sondra",06/11/2015,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$81
2013,"Peeden, Sondra",06/11/2015,Failing to respond to audit documentation and information requests (Initial Documentation Request and Draft Audit Report),"Failing to respond/late response to IDR, DAR, etc.","$1,000"
2013,"Voskerichian, Chrissy",06/11/2015,Repayment: FBB,Repayment: Final Bank Balance,"$1,562.85"
2013,"Williams, Godwin",06/11/2015,Failing to file disclosure statements,Failing to file/filing late disclosure statements,$359
2013,"Williams, Godwin",06/11/2015,Late response to audit documentation and information requests,"Failing to respond/late response to IDR, DAR, etc.",VNP
2013,"Williams, Godwin",06/11/2015,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,"$1,087"
2013,"Matteo, Steven",05/28/2015,Repayment: FBB,Repayment: Final Bank Balance,"$27,034.74"
2013,"Nestler, Walter",05/28/2015,Payment: Documented Outstanding Liabilities,Payment: Documented Outstanding Liabilities,"($9,948)"
2013,"Simon, Lew",05/28/2015,Repayment: FBB,Repayment: Final Bank Balance,"$3,822.98"
2013,"Walsh, Christopher",05/28/2015,Accepting a contribution from a corporation,"Accepting contributions from corporations, limited liability companies, or partnerships",$587
2013,"Walsh, Christopher",05/28/2015,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$120
2013,"Walsh, Christopher",05/28/2015,Repayment: FBB,Repayment: Final Bank Balance,"$7,596.37"
2013,"Cohen, Andrew",05/14/2015,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,INP
2013,"Cohen, Andrew",05/14/2015,Failing to demonstrate compliance with intermediary reporting and documentation requirements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$500
2013,"Cohen, Andrew",05/14/2015,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$213
2013,"Jackson, Robert",05/14/2015,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,VNP
2013,"Jackson, Robert",05/14/2015,"Accepting contributions from corporations, limited liability companies, or partnerships","Accepting contributions from corporations, limited liability companies, or partnerships",$400
2013,"Jackson, Robert",05/14/2015,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2013,"Ruiz, William",05/14/2015,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",$500
2013,"Ruiz, William",05/14/2015,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$85
2013,"Ruiz, William",05/14/2015,Failing to demonstrate compliance with reporting requirements for disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$125
2013,"Ruiz, William",05/14/2015,Failing to report and document basic campaign functions/activities,Failing to report and document basic campaign functions/activities,$500
2013,"Ruiz, William",05/14/2015,Late response to audit documentation and information requests (Initial Documentation Request),"Failing to respond/late response to IDR, DAR, etc.",$250
2013,"Ruiz, William",05/14/2015,Failing to respond to audit documentation and information requests (Draft Audit Report),"Failing to respond/late response to IDR, DAR, etc.",$500
2013,"Vacca, James",05/14/2015,Failing to provide bank account statements,"Failing to provide bank, credit card, and merchant account statements",VNP
2013,"Vacca, James",05/14/2015,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$125
2013,"Vacca, James",05/14/2015,Accepting a contribution from a limited liability partnership,"Accepting contributions from corporations, limited liability companies, or partnerships",$225
2013,"Vacca, James",05/14/2015,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,$250
2013A,"Duncan, Michael",03/12/2015,Accepting contributions from corporations,"Accepting contributions from corporations, limited liability companies, or partnerships",$115
2013A,"Duncan, Michael",03/12/2015,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$423
2013A,"Duncan, Michael",03/12/2015,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$371
2013A,"Duncan, Michael",03/12/2015,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$5,347"
2013A,"Kesselly, Saywalah",09/18/2014,Filing a late disclosure statement and failing to file a disclosure statement,Failing to file/filing late disclosure statements,$900
2013A,"Kesselly, Saywalah",09/18/2014,Making cash expenditures greater than $100,Making cash expenditures greater than $100,$71
2013A,"Kesselly, Saywalah",09/18/2014,Failing to respond to a request for documentation,"Failing to respond/late response to IDR, DAR, etc.",$250
2012A,"King, Andrew",09/18/2014,Failing to report five transactions,Failing to report transactions,$174
2012A,"King, Andrew",09/18/2014,"Failing to accurately report receipts, resulting in a variance of 6.38%",Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$250
2012A,"King, Andrew",09/18/2014,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$2,192"
2012A,"King, Andrew",09/18/2014,"Accepting contributions and failing to report in-kind contributions from a corporation, limited liability company, or partnership","Accepting contributions from corporations, limited liability companies, or partnerships","$6,608"
2012A,"King, Andrew",09/18/2014,Failing to demonstrate that spending was in furtherance of the Campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$2,281"
2012A,"King, Andrew",09/18/2014,Making impermissible post-election expenditures,Making impermissible post-election expenditures,$543
2012A,"King, Andrew",09/18/2014,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$17,939"
2013A,"Brooks, Selvena",07/10/2014,Repayment: FBB,Repayment: Final Bank Balance,$942
2013A,"Leandre, Jacques",06/12/2014,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($3,360)"
2013A,"Richards, Donovan",06/12/2014,"Accepting a contribution from a corporation, limited liability company, or partnership","Accepting contributions from corporations, limited liability companies, or partnerships",$100
2013A,"Richards, Donovan",06/12/2014,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$435
2013A,"Richards, Donovan",06/12/2014,Failing to report a bank account used for campaign purposes,Failing to disclose a bank account or political committee used in furtherance of the campaign,$250
2013A,"Richards, Donovan",06/12/2014,"Failing to demonstrate compliance with cash receipts reporting and documentation requirements, resulting in a 17.16% cash deposit variance",Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$260
2013A,"Richards, Donovan",06/12/2014,Making an impermissible post-election expenditure,Making impermissible post-election expenditures,$100
2013A,"Richards, Donovan",06/12/2014,Failing to document five transactions,Failing to document transactions,$100
2012A,"Simmons-Oliver, Cheryl",06/12/2014,Failing to provide a signed intermediary affirmation statement,Failing to demonstrate compliance with intermediary reporting and documentation requirements,VNP
2012A,"Simmons-Oliver, Cheryl",06/12/2014,Making cash distributions exceeding $100,Making cash expenditures greater than $100,$882
2012A,"Simmons-Oliver, Cheryl",06/12/2014,Payment: Qualified Expenditure Surplus,Payment: Qualified Expenditure Surplus,"($1,893)"
2013A,"Adam-Ovide, Marie",05/08/2014,Filing late disclosure statements,Failing to file/filing late disclosure statements,$484
2013A,"Adam-Ovide, Marie",05/08/2014,Failing to provide bank account statements,"Failing to provide bank, credit card, and merchant account statements",$345
2013A,"Adam-Ovide, Marie",05/08/2014,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$432
2013A,"Adam-Ovide, Marie",05/08/2014,Failing to respond to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.",$500
2013,"Cumbo, Laurie",05/08/2014,Accepting and failing to report an over-the-limit contribution from a prohibited source,"Accepting contributions from corporations, limited liability companies, or partnerships","$7,868"
2013,"Johnson, Pamela",05/08/2014,Filing a disclosure statement five days late,Failing to file/filing late disclosure statements,INP
2013,"Johnson, Pamela",05/08/2014,Failing to document transactions,Failing to document transactions,$900
2013,"Levine, Mark",05/08/2014,Accepting and failing to report an over-the-limit contribution from a prohibited source,"Accepting contributions from corporations, limited liability companies, or partnerships","$8,686"
2009,"Wu, James",12/12/2013,Failing to report a bank account,Failing to disclose a bank account or political committee used in furtherance of the campaign,$250
2009,"Wu, James",12/12/2013,Filing two disclosure statements late,Failing to file/filing late disclosure statements,$450
2009,"Wu, James",12/12/2013,Failing to file daily pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$200
2009,"Wu, James",12/12/2013,Failing to provide merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$250
2009,"Wu, James",12/12/2013,Accepting three over-the-limit contributions,Accepting over-the-limit contributions,"$4,842"
2009,"Wu, James",12/12/2013,Accepting a contribution from a corporation,"Accepting contributions from corporations, limited liability companies, or partnerships","$6,600"
2009,"Wu, James",12/12/2013,Failing to properly document two transactions,Failing to document transactions,$100
2009,"Wu, James",12/12/2013,Failing to provide a petty cash journal,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$50
2009,"Wu, James",12/12/2013,Maintaining a petty cash fund greater than $500,Maintaining a petty cash fund greater than $500,$50
2009,"Wu, James",12/12/2013,Intentionally furnishing false documentation and information,Material misrepresentation; fraud; submission of false or ficticious information,"$5,000"
2009,"Wu, James",12/12/2013,Exceeding the expenditure limit,Exceeding the expenditure limit,No violation
2009,"Wu, James",12/12/2013,Repayment: FBB,Repayment: Final Bank Balance,$34.84
2009,"Gioia, Eric",07/25/2013,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$12,875"
2009,"Gioia, Eric",07/25/2013,Accepting corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships","$12,125"
2009,"Gioia, Eric",07/25/2013,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,$750
2009,"Gioia, Eric",07/25/2013,Accepting over-the-limit Doing Business contributions,Accepting over-the-limit Doing Business contributions,"$10,850"
2009,"Gioia, Eric",07/25/2013,Filing a disclosure statement eight days late,Failing to file/filing late disclosure statements,VNP
2009,"Gioia, Eric",07/25/2013,Failing to file required daily pre-election disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,200
2009,"Gioia, Eric",07/25/2013,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",1500
2009,"Gioia, Eric",07/25/2013,Failing to report transactions,Failing to report transactions,"$1,974"
2009,"Gioia, Eric",07/25/2013,"Failing to accurately report credit card contributions, resulting in an 11.78% variance",Failing to demonstrate compliance with reporting requirements for receipts or disbursements,"$1,500"
2009,"Gioia, Eric",07/25/2013,Failing to provide signed intermediary affirmation statements and failing to respond to questions regarding intermediaries,Failing to demonstrate compliance with intermediary reporting and documentation requirements,"$2,600"
2009,"Gioia, Eric",07/25/2013,Exceeding the expenditure limit,Exceeding the expenditure limit,"$29,732"
2009,"Gioia, Eric",07/25/2013,Making improper post-election expenditures,Making impermissible post-election expenditures,"$3,208"
2009,"Gioia, Eric",07/25/2013,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$1,188"
2009,"Gioia, Eric",07/25/2013,Failing to document transactions,Failing to document transactions,"$1,400"
2009,"Gioia, Eric",07/25/2013,Failing to adequately document transactions,Failing to document transactions,"$2,500"
2009,"Williams, Jumaane",07/11/2013,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,250
2009,"Williams, Jumaane",07/11/2013,Accepting over-the-limit Doing Business contributions,Accepting over-the-limit Doing Business contributions,550
2009,"Williams, Jumaane",07/11/2013,Failing to provide bank statements and merchant account statements,"Failing to provide bank, credit card, and merchant account statements",VNP
2009,"Williams, Jumaane",07/11/2013,"Failing to accurately report disbursements, resulting in a 12.12% variance",Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$500
2009,"Williams, Jumaane",07/11/2013,Failing to report and document in-kind contributions,Failing to report transactions,VNP
2009,"Williams, Jumaane",07/11/2013,Failing to adequately respond to questions regarding expenditures,"Failing to respond/late response to IDR, DAR, etc.","$1,500"
2009,"Williams, Jumaane",07/11/2013,Making cash disbursements in excess of $100,Making cash expenditures greater than $100,$100
2009,"Williams, Jumaane",07/11/2013,Failing to respond timely to the draft audit report,"Failing to respond/late response to IDR, DAR, etc.","$3,094"
2009,"Williams, Jumaane",07/11/2013,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$6,587"
2011,"Diaz, Clifton Stanley",06/20/2013,Failing to report bank accounts,Failing to disclose a bank account or political committee used in furtherance of the campaign,$500
2011,"Diaz, Clifton Stanley",06/20/2013,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",$250
2011,"Diaz, Clifton Stanley",06/20/2013,Filing a disclosure statement 13 days late,Failing to file/filing late disclosure statements,$650
2011,"Diaz, Clifton Stanley",06/20/2013,Failing to respond to the Draft Audit Report,"Failing to respond/late response to IDR, DAR, etc.",$222
2011,"Diaz, Clifton Stanley",06/20/2013,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships","$1,624"
2011,"Diaz, Clifton Stanley",06/20/2013,"Failing to accurately report receipts, resulting in a 19.20% variance",Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$500
2009,"de Blasio, Bill",05/08/2013,Accepting over-the-limit in-kind contributions,Accepting over-the-limit contributions,No violation
2009,"de Blasio, Bill",05/08/2013,Accepting over-the-limit contributions,Accepting over-the-limit contributions,"$1,625"
2009,"de Blasio, Bill",05/08/2013,Accepting corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships",$500
2009,"de Blasio, Bill",05/08/2013,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,"$1,750"
2009,"de Blasio, Bill",05/08/2013,Accepting over-the-limit Doing Business contributions,Accepting over-the-limit Doing Business contributions,"$1,250"
2009,"de Blasio, Bill",05/08/2013,Failing to file a daily disclosure statement,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$300
2009,"de Blasio, Bill",05/08/2013,Failing to document specific transactions,Failing to document transactions,$400
2009,"de Blasio, Bill",05/08/2013,Failing to demonstrate compliance with subcontractor reporting requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$50
2009,"de Blasio, Bill",05/08/2013,Maintaining a petty cash fund greater than $500,Maintaining a petty cash fund greater than $500,$345
2009,"de Blasio, Bill",05/08/2013,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,"$1,598"
2009,"de Blasio, Bill",05/08/2013,Making improper post-election expenditures,Making impermissible post-election expenditures,"$1,132"
2009,"de Blasio, Bill",05/08/2013,Commingling,Failing to maintain a separate campaign bank account; using an undisclosed bank account in furtherance of the campaign; commingling campaign funds with personal or business funds or funds accepted for a different election,"$10,000"
2009,"de Blasio, Bill",05/08/2013,Failing to document 30 contributions,Failing to document transactions,"$1,550"
2009,"de Blasio, Bill",05/08/2013,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($24,948)"
2009,"Dromm, Daniel",05/08/2013,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",VNP
2009,"Dromm, Daniel",05/08/2013,Making improper post-election expenditures,Making impermissible post-election expenditures,VNP
2009,"Seabrook, Larry",04/11/2013,Accepting corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships",VNP
2009,"Seabrook, Larry",04/11/2013,Making improper post-election expenditures,Making impermissible post-election expenditures,VNP
2009,"Seabrook, Larry",04/11/2013,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($2,288)"
2009,"Van Bramer, James",04/11/2013,Failing to report an in-kind contribution stemming from unreported coordination,Failing to report transactions,"$4,000"
2009,"Van Bramer, James",04/11/2013,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,VNP
2009,"Van Bramer, James",04/11/2013,Making improper post-election expenditures,Making impermissible post-election expenditures,$100
2009,"Halloran, Daniel",03/14/2013,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2009,"Halloran, Daniel",03/14/2013,Accepting an over-the-limit Doing Business contribution,Accepting over-the-limit Doing Business contributions,$250
2009,"Halloran, Daniel",03/14/2013,Filing a disclosure statement 67 days late,Failing to file/filing late disclosure statements,$750
2009,"Halloran, Daniel",03/14/2013,Failing to file daily disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$100
2009,"Halloran, Daniel",03/14/2013,Failing to provide bank statements,"Failing to provide bank, credit card, and merchant account statements",$250
2009,"Halloran, Daniel",03/14/2013,Failing to properly report one transaction,Failing to report transactions,$50
2009,"Halloran, Daniel",03/14/2013,"Failing to provide deposit slips, resulting in a cash variance of 7.62%",Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$250
2009,"Halloran, Daniel",03/14/2013,"Accepting contributions or loans from a corporation, limited liability company, or partnership","Accepting contributions from corporations, limited liability companies, or partnerships","$1,050"
2009,"Halloran, Daniel",03/14/2013,Making cash payments greater than $100,Making cash expenditures greater than $100,$224
2009,"Halloran, Daniel",03/14/2013,Failing to maintain separate campaign bank account and co-mingling campaign and TIE funds,Failing to maintain a separate campaign bank account; using an undisclosed bank account in furtherance of the campaign; commingling campaign funds with personal or business funds or funds accepted for a different election,$250
